id,title,category,date,image,views,excerpt,content,tags,prepTime,cookTime,totalTime,servings,difficulty
1,"Creamy Garlic Parmesan Risotto","Italian","2023-08-15","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ_img4.webp",1250,"A luxurious, creamy risotto packed with garlic and parmesan flavors that's perfect for a cozy dinner.","<p>This creamy garlic parmesan risotto is the ultimate comfort food. With its rich flavor and velvety texture, it's guaranteed to impress even the most discerning dinner guests.</p><h3>Ingredients</h3><ul><li>1 1/2 cups Arborio rice</li><li>6 cups chicken broth, warmed</li><li>1 cup dry white wine</li><li>1 medium onion, finely diced</li><li>4 cloves garlic, minced</li><li>2 tbsp olive oil</li><li>3 tbsp butter</li><li>1 cup freshly grated Parmesan cheese</li><li>Salt and freshly ground black pepper to taste</li><li>2 tbsp fresh parsley, chopped</li></ul><h3>Instructions</h3><ol><li>In a large pot, heat the olive oil and 1 tbsp of butter over medium heat.</li><li>Add the onion and sauté until translucent, about 3-4 minutes.</li><li>Add the garlic and cook for another minute until fragrant.</li><li>Add the Arborio rice and stir to coat with the oil and butter. Toast the rice for about 2 minutes.</li><li>Pour in the white wine and stir until it's almost completely absorbed.</li><li>Begin adding the warm broth, one ladle at a time, stirring frequently. Wait until each addition is almost completely absorbed before adding more.</li><li>Continue this process until the rice is creamy and al dente, about 18-20 minutes.</li><li>Remove from heat and stir in the remaining butter and Parmesan cheese.</li><li>Season with salt and pepper to taste.</li><li>Garnish with fresh parsley before serving.</li></ol><p>Serve immediately for the best texture and flavor. This risotto pairs beautifully with grilled chicken or a simple green salad.</p>","risotto,italian,dinner,comfort food","10 min","25 min","35 min","4","Medium"
2,"Honey Glazed Salmon","Healthy","2023-09-15","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img5.webp",876,"A perfectly seared salmon fillet glazed with a sweet and savory honey sauce, ready in just 20 minutes.","<p>This honey glazed salmon is the perfect balance of sweet and savory, with a perfectly crispy exterior and tender, flaky interior. It's an elegant yet simple dish that's perfect for both weeknight dinners and special occasions.</p><h3>Ingredients</h3><ul><li>4 salmon fillets (6 oz each)</li><li>3 tablespoons honey</li><li>2 tablespoons soy sauce</li><li>1 tablespoon olive oil</li><li>2 cloves garlic, minced</li><li>1 teaspoon ginger, grated</li><li>1/2 teaspoon black pepper</li><li>1/4 teaspoon red pepper flakes (optional)</li><li>2 green onions, sliced (for garnish)</li><li>Sesame seeds (for garnish)</li></ul><h3>Instructions</h3><ol><li>Pat the salmon fillets dry with paper towels and season with black pepper.</li><li>In a small bowl, whisk together honey, soy sauce, garlic, and ginger.</li><li>Heat olive oil in a large skillet over medium-high heat.</li><li>Place salmon in the skillet skin-side up and cook for 4 minutes.</li><li>Flip the salmon and pour the honey mixture over it.</li><li>Cook for another 4-5 minutes, basting occasionally with the sauce.</li><li>Remove from heat when salmon is cooked through and sauce has thickened.</li><li>Garnish with green onions and sesame seeds.</li></ol><p>Serve hot with steamed rice and vegetables. The glaze can also be made ahead and stored in the refrigerator for up to 3 days.</p>","salmon,healthy,quick,dinner,seafood","10 min","10 min","20 min","4","Easy"
3,"Classic French Onion Soup","Soups","2023-09-20","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img6.webp",1234,"A rich, deeply flavored French onion soup topped with crusty bread and melted Gruyère cheese.","<p>This classic French onion soup is the ultimate comfort food, featuring slowly caramelized onions in a rich beef broth, topped with crusty bread and melted cheese. While it takes time to develop the flavors, the result is absolutely worth the wait.</p><h3>Ingredients</h3><ul><li>6 large onions, thinly sliced</li><li>4 tablespoons butter</li><li>2 tablespoons olive oil</li><li>1 teaspoon sugar</li><li>2 cloves garlic, minced</li><li>8 cups beef broth</li><li>1/2 cup dry white wine</li><li>1 bay leaf</li><li>2 sprigs fresh thyme</li><li>Salt and pepper to taste</li><li>1 baguette, sliced</li><li>2 cups Gruyère cheese, grated</li></ul><h3>Instructions</h3><ol><li>In a large pot, melt butter with olive oil over medium heat.</li><li>Add sliced onions and sugar, cook on medium-low heat for 45-60 minutes, stirring occasionally until deeply caramelized.</li><li>Add garlic and cook for 1 minute until fragrant.</li><li>Pour in wine and scrape up any brown bits from the bottom of the pot.</li><li>Add beef broth, bay leaf, and thyme. Simmer for 30 minutes.</li><li>Meanwhile, toast baguette slices until golden brown.</li><li>Ladle soup into oven-safe bowls, top with toasted bread and generous amounts of Gruyère.</li><li>Broil until cheese is melted and bubbly, about 2-3 minutes.</li></ol><p>Serve immediately while the cheese is hot and stringy. Be careful as the bowls will be very hot!</p>","soup,french,comfort food,winter","20 min","90 min","110 min","6","Medium"
4,"Chocolate Lava Cakes","Sweet","2023-09-25","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img7.webp",2345,"Decadent individual chocolate cakes with a warm, gooey center that flows like lava when cut open.","<p>These impressive chocolate lava cakes look fancy but are surprisingly easy to make. They're perfect for special occasions or whenever you need a chocolate fix. The key is not to overbake them to maintain that perfect molten center.</p><h3>Ingredients</h3><ul><li>8 oz dark chocolate, chopped</li><li>1/2 cup butter</li><li>4 large eggs</li><li>1/2 cup granulated sugar</li><li>1/4 cup all-purpose flour</li><li>1 teaspoon vanilla extract</li><li>Pinch of salt</li><li>Powdered sugar for dusting</li><li>Vanilla ice cream for serving (optional)</li></ul><h3>Instructions</h3><ol><li>Preheat oven to 425°F (220°C). Butter and lightly flour four 6 oz ramekins.</li><li>Melt chocolate and butter in a double boiler until smooth.</li><li>In a separate bowl, whisk together eggs, sugar, and vanilla until light and fluffy.</li><li>Fold the chocolate mixture into the egg mixture.</li><li>Gently fold in flour and salt until just combined.</li><li>Divide batter among prepared ramekins.</li><li>Bake for 12-14 minutes until edges are firm but centers are soft.</li><li>Let cool for 1 minute, then invert onto serving plates.</li></ol><p>Dust with powdered sugar and serve immediately with vanilla ice cream. The centers should be warm and flowing when cut open.</p>","dessert,chocolate,baking,valentine's day","15 min","14 min","29 min","4","Medium"
5,"Mediterranean Quinoa Bowl","Vegetarian","2023-10-01","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img8.webp",987,"A vibrant, protein-rich quinoa bowl loaded with Mediterranean flavors and fresh vegetables.","<p>This Mediterranean quinoa bowl is a perfect healthy meal prep option that's both nutritious and delicious. Packed with protein, fiber, and fresh vegetables, it's a satisfying meal that can be enjoyed warm or cold.</p><h3>Ingredients</h3><ul><li>1 cup quinoa, rinsed</li><li>2 cups vegetable broth</li><li>1 cucumber, diced</li><li>2 cups cherry tomatoes, halved</li><li>1 red onion, finely chopped</li><li>1 cup kalamata olives, pitted</li><li>1 cup feta cheese, crumbled</li><li>1/4 cup fresh parsley, chopped</li><li>2 tablespoons fresh mint, chopped</li><li>3 tablespoons olive oil</li><li>2 tablespoons lemon juice</li><li>1 clove garlic, minced</li><li>Salt and pepper to taste</li></ul><h3>Instructions</h3><ol><li>Cook quinoa in vegetable broth according to package instructions. Let cool.</li><li>In a large bowl, combine cooled quinoa, cucumber, tomatoes, red onion, and olives.</li><li>In a small bowl, whisk together olive oil, lemon juice, garlic, salt, and pepper.</li><li>Pour dressing over quinoa mixture and toss to combine.</li><li>Fold in feta cheese, parsley, and mint.</li><li>Taste and adjust seasoning as needed.</li></ol><p>Can be served immediately or stored in the refrigerator for up to 3 days. Perfect for lunch boxes or as a side dish.</p>","vegetarian,healthy,meal prep,mediterranean","15 min","20 min","35 min","4","Easy"
6,"Crispy Korean Fried Chicken","Chicken","2023-10-05","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img9.webp",3456,"Double-fried chicken wings tossed in a sweet and spicy Korean sauce, achieving the perfect crispy exterior.","<p>This Korean fried chicken recipe delivers incredibly crispy wings with a delicious sweet and spicy sauce. The secret to the ultra-crispy texture is double-frying the chicken at different temperatures.</p><h3>Ingredients</h3><ul><li>2 lbs chicken wings</li><li>1 cup potato starch</li><li>1 teaspoon salt</li><li>1/2 teaspoon black pepper</li><li>Oil for frying</li><li>For the sauce:</li><li>1/4 cup gochujang (Korean red chili paste)</li><li>3 tablespoons honey</li><li>2 tablespoons soy sauce</li><li>4 cloves garlic, minced</li><li>1 tablespoon ginger, grated</li><li>2 tablespoons rice vinegar</li><li>Sesame seeds and green onions for garnish</li></ul><h3>Instructions</h3><ol><li>Pat chicken wings dry and season with salt and pepper.</li><li>Coat wings in potato starch, shaking off excess.</li><li>Heat oil to 350°F and fry wings for 8-10 minutes.</li><li>Remove and let rest for 5 minutes.</li><li>Increase oil temperature to 375°F and fry again for 3-4 minutes until golden brown.</li><li>Meanwhile, combine all sauce ingredients in a small saucepan and simmer until thickened.</li><li>Toss hot wings in sauce until well coated.</li><li>Garnish with sesame seeds and green onions.</li></ol><p>Serve immediately while hot and crispy. Perfect with cold beer or as part of a Korean feast!</p>","chicken,korean,spicy,appetizer","20 min","25 min","45 min","4","Medium"
7,"Classic Apple Pie","Baking","2023-10-10","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img10.webp",4567,"A perfectly spiced apple pie with a flaky, buttery crust and tender apple filling.","<p>This classic apple pie recipe features a buttery, flaky crust and a perfectly spiced apple filling. It's the ultimate comfort dessert that fills your home with wonderful aromas as it bakes.</p><h3>Ingredients</h3><ul><li>For the crust:</li><li>2 1/2 cups all-purpose flour</li><li>1 cup cold butter, cubed</li><li>1/4 cup ice water</li><li>1 teaspoon salt</li><li>For the filling:</li><li>6 cups apples, sliced (mix of Granny Smith and Honeycrisp)</li><li>3/4 cup sugar</li><li>2 tablespoons lemon juice</li><li>1 teaspoon cinnamon</li><li>1/4 teaspoon nutmeg</li><li>1/4 teaspoon allspice</li><li>3 tablespoons cornstarch</li><li>1 egg (for egg wash)</li></ul><h3>Instructions</h3><ol><li>Make the crust by pulsing flour, salt, and butter in a food processor until crumbly.</li><li>Add ice water gradually until dough forms.</li><li>Divide dough in half, wrap, and chill for 1 hour.</li><li>Mix sliced apples with sugar, spices, lemon juice, and cornstarch.</li><li>Roll out one dough portion and line a 9-inch pie dish.</li><li>Fill with apple mixture.</li><li>Roll out second dough portion and cover pie. Crimp edges and cut vents.</li><li>Brush with egg wash and sprinkle with sugar.</li><li>Bake at 425°F for 45-50 minutes until golden brown.</li></ol><p>Let cool for at least 30 minutes before serving. Delicious with vanilla ice cream!</p>","pie,baking,dessert,apple","30 min","50 min","80 min","8","Medium"
8,"Homemade Pasta Carbonara","Italian","2023-10-15","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img11.webp",2789,"A classic Roman pasta dish made with eggs, Pecorino Romano, pancetta, and lots of black pepper.","<p>This authentic carbonara recipe stays true to the Roman tradition - no cream, just eggs, cheese, pork, and black pepper. The key is working quickly to create a silky smooth sauce without scrambling the eggs.</p><h3>Ingredients</h3><ul><li>1 lb spaghetti</li><li>4 large egg yolks</li><li>2 whole eggs</li><li>1 cup Pecorino Romano, freshly grated</li><li>4 oz pancetta or guanciale, diced</li><li>2 tablespoons olive oil</li><li>2 cloves garlic, whole</li><li>Freshly ground black pepper</li><li>Salt for pasta water</li></ul><h3>Instructions</h3><ol><li>Bring a large pot of salted water to boil for the pasta.</li><li>In a bowl, whisk together egg yolks, whole eggs, and cheese.</li><li>Cook pancetta with olive oil and whole garlic cloves until crispy.</li><li>Cook pasta until al dente, reserve 1 cup pasta water.</li><li>Remove garlic cloves and add hot pasta to pancetta.</li><li>Working quickly, add egg mixture and toss vigorously.</li><li>Add pasta water as needed to create a creamy sauce.</li><li>Season generously with black pepper.</li></ol><p>Serve immediately with extra cheese and black pepper. The residual heat from the pasta cooks the eggs into a silky sauce.</p>","pasta,italian,dinner,eggs","10 min","15 min","25 min","4","Medium"
9,"Spicy Thai Green Curry","Asian","2023-10-20","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img12.webp",1890,"A fragrant and spicy Thai green curry with coconut milk, vegetables, and your choice of protein.","<p>This aromatic Thai green curry combines the perfect balance of sweet, spicy, and savory flavors. While you can use store-bought curry paste, making your own results in a more vibrant and fresh taste.</p><h3>Ingredients</h3><ul><li>2 cans coconut milk</li><li>4 tablespoons green curry paste</li><li>1 lb chicken, tofu, or shrimp</li><li>2 cups mixed vegetables (bamboo shoots, bell peppers, eggplant)</li><li>4 kaffir lime leaves</li><li>2 tablespoons fish sauce</li><li>1 tablespoon palm sugar</li><li>1 cup Thai basil leaves</li><li>2 tablespoons vegetable oil</li><li>Jasmine rice for serving</li></ul><h3>Instructions</h3><ol><li>Heat oil in a large pot over medium heat.</li><li>Add curry paste and fry until fragrant.</li><li>Add thick part of coconut milk and simmer until oil separates.</li><li>Add protein of choice and cook until nearly done.</li><li>Pour in remaining coconut milk and bring to a simmer.</li><li>Add vegetables and kaffir lime leaves.</li><li>Season with fish sauce and palm sugar.</li><li>Simmer until vegetables are tender.</li><li>Stir in Thai basil leaves just before serving.</li></ol><p>Serve hot over jasmine rice. Adjust spiciness by varying the amount of curry paste used.</p>","curry,thai,spicy,asian","15 min","25 min","40 min","4","Medium"
10,"Homemade Sourdough Bread","Baking","2023-10-25","https://cdn.jsdelivr.net/gh/sfanxak/-TheTastyJournal@c9951464d9f2dddb1302acbda42fca2b7da21482/media/TTJ-img13.webp",3678,"A crusty artisan sourdough bread with a chewy crumb and complex flavor developed through long fermentation.","<p>This sourdough bread recipe requires patience but rewards you with an amazing loaf featuring a crispy crust, chewy interior, and complex flavor. The long fermentation process develops both texture and taste.</p><h3>Ingredients</h3><ul><li>500g bread flour</li><li>350g water</li><li>100g active sourdough starter</li><li>10g salt</li></ul><h3>Instructions</h3><ol><li>Mix flour and water, let rest for 30 minutes (autolyse).</li><li>Add starter and salt, mix until well combined.</li><li>Perform 4 sets of stretch and folds over 2 hours.</li><li>Bulk ferment at room temperature for 4-6 hours.</li><li>Shape into a boule and place in banneton.</li><li>Cold proof in refrigerator overnight (8-12 hours).</li><li>Preheat Dutch oven to 500°F.</li><li>Score bread and bake covered for 20 minutes.</li><li>Reduce temperature to 450°F and bake uncovered for 20-25 minutes.</li></ol><p>Let cool completely before slicing. The bread stays fresh for 3-4 days and can be frozen for up to 3 months.</p>","bread,sourdough,baking,artisan","30 min","45 min","24 hrs","1 loaf","Hard"